央视频道,#genre#
CCTV-1 综合,https://itv.lat/hls?channel=CCTV-1H265&token=fbca23599065f5bd644b330db4e3b1f5
CCTV-2 财经,https://itv.lat/hls?channel=CCTV-2H265&token=fbca23599065f5bd644b330db4e3b1f5
CCTV-3 综艺,https://itv.lat/hls?channel=CCTV-3H265&token=fbca23599065f5bd644b330db4e3b1f5
CCTV-4 中文国际,https://itv.lat/hls?channel=CCTV-4H265&token=fbca23599065f5bd644b330db4e3b1f5
CCTV-5 体育,https://itv.lat/hls?channel=CCTV-5H265&token=fbca23599065f5bd644b330db4e3b1f5
CCTV-5+ 体育赛事,https://itv.lat/hls?channel=CCTV-5plusH265&token=fbca23599065f5bd644b330db4e3b1f5
CCTV-6 电影,https://itv.lat/hls?channel=CCTV-6H265&token=fbca23599065f5bd644b330db4e3b1f5
CCTV-7 国防军事,https://itv.lat/hls?channel=CCTV-7H265&token=fbca23599065f5bd644b330db4e3b1f5
CCTV-8 电视剧,https://itv.lat/hls?channel=CCTV-8H265&token=fbca23599065f5bd644b330db4e3b1f5
CCTV-9 纪录,https://itv.lat/hls?channel=CCTV-9H265&token=fbca23599065f5bd644b330db4e3b1f5
CCTV-10 科教,https://itv.lat/hls?channel=CCTV-10H265&token=fbca23599065f5bd644b330db4e3b1f5
CCTV-11 戏曲,https://itv.lat/hls?channel=CCTV-11-H265&token=fbca23599065f5bd644b330db4e3b1f5
CCTV-12 社会与法,https://itv.lat/hls?channel=CCTV-12H265&token=fbca23599065f5bd644b330db4e3b1f5
CCTV-13 新闻,https://itv.lat/hls?channel=CCTV-xw&token=fbca23599065f5bd644b330db4e3b1f5
CCTV-14 少儿,https://itv.lat/hls?channel=CCTV-14H265&token=fbca23599065f5bd644b330db4e3b1f5
CCTV-15 音乐,https://itv.lat/hls?channel=CCTV-15-yyH265&token=fbca23599065f5bd644b330db4e3b1f5
CCTV-16 奥林匹克,https://itv.lat/hls?channel=CCTV-16&token=fbca23599065f5bd644b330db4e3b1f5
CCTV-16 奥林匹克 4K,https://itv.lat/hls?channel=CCTV-16-4K_8000&token=fbca23599065f5bd644b330db4e3b1f5
CCTV-17 农业农村,https://itv.lat/hls?channel=CCTV-17&token=fbca23599065f5bd644b330db4e3b1f5
CCTV-4K 超高清,https://itv.lat/hls?channel=ys4Kcq_2000&token=fbca23599065f5bd644b330db4e3b1f5
4K超高清电影,https://itv.lat/hls?channel=emdy4k_8000&token=fbca23599065f5bd644b330db4e3b1f5
欢笑剧场4K,https://itv.lat/hls?channel=hxjc-4k_8000&token=fbca23599065f5bd644b330db4e3b1f5
CHC动作电影,https://itv.lat/hls?channel=wqCHCdzdyH265&token=fbca23599065f5bd644b330db4e3b1f5
CHC影迷电影,https://itv.lat/hls?channel=lnwsCHC-HDH265&token=fbca23599065f5bd644b330db4e3b1f5
CHC家庭影院,https://itv.lat/hls?channel=jbtygqCHCjtyyH265&token=fbca23599065f5bd644b330db4e3b1f5
重温经典,https://itv.lat/hls?channel=CWJD&token=fbca23599065f5bd644b330db4e3b1f5
卫视频道,#genre#
凤凰中文,https://itv.lat/hls?channel=test1&token=fbca23599065f5bd644b330db4e3b1f5
凤凰资讯,https://itv.lat/hls?channel=test2&token=fbca23599065f5bd644b330db4e3b1f5
安徽卫视,https://itv.lat/hls?channel=ahwsH265&token=fbca23599065f5bd644b330db4e3b1f5
北京卫视,https://itv.lat/hls?channel=bjwsH265&token=fbca23599065f5bd644b330db4e3b1f5
兵团卫视,https://itv.lat/hls?channel=btws&token=fbca23599065f5bd644b330db4e3b1f5
重庆卫视,https://itv.lat/hls?channel=cqwsH265&token=fbca23599065f5bd644b330db4e3b1f5
东方卫视,https://itv.lat/hls?channel=dfwsH265&token=fbca23599065f5bd644b330db4e3b1f5
东南卫视,https://itv.lat/hls?channel=dnwsfjwsH265&token=fbca23599065f5bd644b330db4e3b1f5
甘肃卫视,https://itv.lat/hls?channel=gsws&token=fbca23599065f5bd644b330db4e3b1f5
广东卫视,https://itv.lat/hls?channel=gdwsH265&token=fbca23599065f5bd644b330db4e3b1f5
广西卫视,https://itv.lat/hls?channel=gxws&token=fbca23599065f5bd644b330db4e3b1f5
贵州卫视,https://itv.lat/hls?channel=gzwsH265&token=fbca23599065f5bd644b330db4e3b1f5
海南卫视,https://itv.lat/hls?channel=hnws&token=fbca23599065f5bd644b330db4e3b1f5
河南卫视,https://itv.lat/hls?channel=hnws35&token=fbca23599065f5bd644b330db4e3b1f5
黑龙江卫视,https://itv.lat/hls?channel=hljwsH265&token=fbca23599065f5bd644b330db4e3b1f5
湖北卫视,https://itv.lat/hls?channel=hbwsH265&token=fbca23599065f5bd644b330db4e3b1f5
湖南卫视,https://itv.lat/hls?channel=hnwsH265&token=fbca23599065f5bd644b330db4e3b1f5
吉林卫视,https://itv.lat/hls?channel=jlwsH265&token=fbca23599065f5bd644b330db4e3b1f5
江苏卫视,https://itv.lat/hls?channel=jswsH265&token=fbca23599065f5bd644b330db4e3b1f5
江西卫视,https://itv.lat/hls?channel=jxwsH265&token=fbca23599065f5bd644b330db4e3b1f5
康巴卫视,https://itv.lat/hls?channel=kbwsH264_2000&token=fbca23599065f5bd644b330db4e3b1f5
辽宁卫视,https://itv.lat/hls?channel=lnwsHDH264&token=fbca23599065f5bd644b330db4e3b1f5
内蒙古卫视,https://itv.lat/hls?channel=nmgws&token=fbca23599065f5bd644b330db4e3b1f5
山东教育卫视,https://itv.lat/hls?channel=sdjy&token=fbca23599065f5bd644b330db4e3b1f5
山东卫视,https://itv.lat/hls?channel=sdwsH265&token=fbca23599065f5bd644b330db4e3b1f5
山西卫视,https://itv.lat/hls?channel=sxws42&token=fbca23599065f5bd644b330db4e3b1f5
陕西卫视,https://itv.lat/hls?channel=sxws&token=fbca23599065f5bd644b330db4e3b1f5
深圳卫视,https://itv.lat/hls?channel=szwsH265&token=fbca23599065f5bd644b330db4e3b1f5
四川卫视,https://itv.lat/hls?channel=scwsH265&token=fbca23599065f5bd644b330db4e3b1f5
天津卫视,https://itv.lat/hls?channel=tjwsH265&token=fbca23599065f5bd644b330db4e3b1f5
西藏卫视,https://itv.lat/hls?channel=xzwsH264_2000&token=fbca23599065f5bd644b330db4e3b1f5
云南卫视,https://itv.lat/hls?channel=ynws&token=fbca23599065f5bd644b330db4e3b1f5
浙江卫视,https://itv.lat/hls?channel=zjwsH265&token=fbca23599065f5bd644b330db4e3b1f5
CETV-1,https://itv.lat/hls?channel=CETV-1H264&token=fbca23599065f5bd644b330db4e3b1f5
综合频道,#genre#
动漫秀场,https://itv.lat/hls?channel=yybb-dmxc-H265&token=fbca23599065f5bd644b330db4e3b1f5
都市剧场,https://itv.lat/hls?channel=yxfydsjcHDH265&token=fbca23599065f5bd644b330db4e3b1f5
法治天地,https://itv.lat/hls?channel=fztx&token=fbca23599065f5bd644b330db4e3b1f5
纪实科教,https://itv.lat/hls?channel=bjjs_2000&token=fbca23599065f5bd644b330db4e3b1f5
嘉佳卡通,https://itv.lat/hls?channel=jjkt_2000&token=fbca23599065f5bd644b330db4e3b1f5
家庭理财,https://itv.lat/hls?channel=jtlc&token=fbca23599065f5bd644b330db4e3b1f5
财富天下,https://itv.lat/hls?channel=cftx&token=fbca23599065f5bd644b330db4e3b1f5
金鹰纪实,https://itv.lat/hls?channel=jyjsHDH265&token=fbca23599065f5bd644b330db4e3b1f5
金鹰卡通,https://itv.lat/hls?channel=jykt_2000&token=fbca23599065f5bd644b330db4e3b1f5
劲爆体育,https://itv.lat/hls?channel=lqhxjcHDH265&token=fbca23599065f5bd644b330db4e3b1f5
卡酷少儿,https://itv.lat/hls?channel=kkkt&token=fbca23599065f5bd644b330db4e3b1f5
快乐垂钓,https://itv.lat/hls?channel=fyzqklcdHDH265&token=fbca23599065f5bd644b330db4e3b1f5
乐游,https://itv.lat/hls?channel=qjs-HDH265&token=fbca23599065f5bd644b330db4e3b1f5
梨园频道,https://itv.lat/hls?channel=ly&token=fbca23599065f5bd644b330db4e3b1f5
魅力足球,https://itv.lat/hls?channel=mlyy&token=fbca23599065f5bd644b330db4e3b1f5
生活时尚,https://itv.lat/hls?channel=shssH265&token=fbca23599065f5bd644b330db4e3b1f5
四海钓鱼,https://itv.lat/hls?channel=shdy&token=fbca23599065f5bd644b330db4e3b1f5
天元围棋,https://itv.lat/hls?channel=tywq_2000&token=fbca23599065f5bd644b330db4e3b1f5
武术世界,https://itv.lat/hls?channel=wssj&token=fbca23599065f5bd644b330db4e3b1f5
先锋乒羽,https://itv.lat/hls?channel=xfpy&token=fbca23599065f5bd644b330db4e3b1f5
新视觉,https://itv.lat/hls?channel=ycxsjH265&token=fbca23599065f5bd644b330db4e3b1f5
证券服务,https://itv.lat/hls?channel=jz_2000&token=fbca23599065f5bd644b330db4e3b1f5
中国天气,https://itv.lat/hls?channel=zgqx&token=fbca23599065f5bd644b330db4e3b1f5
发现之旅,https://itv.lat/hls?channel=fxzl_2000&token=fbca23599065f5bd644b330db4e3b1f5
老故事,https://itv.lat/hls?channel=lgs_2000&token=fbca23599065f5bd644b330db4e3b1f5
中学生,https://itv.lat/hls?channel=zxs&token=fbca23599065f5bd644b330db4e3b1f5
精品导视,https://itv.lat/hls?channel=jpdsH265&token=fbca23599065f5bd644b330db4e3b1f5
四川经济,https://itv.lat/hls?channel=SCTV-2-H265&token=fbca23599065f5bd644b330db4e3b1f5
四川新闻,https://itv.lat/hls?channel=SCTV-4H265&token=fbca23599065f5bd644b330db4e3b1f5
四川影视文艺,https://itv.lat/hls?channel=SCTV-5-scysH265&token=fbca23599065f5bd644b330db4e3b1f5
四川妇女儿童,https://itv.lat/hls?channel=SCTV-7-&token=fbca23599065f5bd644b330db4e3b1f5
四川科教,https://itv.lat/hls?channel=SCTV-ggSCTV-8&token=fbca23599065f5bd644b330db4e3b1f5
四川乡村,https://itv.lat/hls?channel=SCTV-kjSCTV-9-&token=fbca23599065f5bd644b330db4e3b1f5
四川文化旅游,https://itv.lat/hls?channel=SCTV-3-H265&token=fbca23599065f5bd644b330db4e3b1f5
四川峨眉电影,https://itv.lat/hls?channel=emdygqH265&token=fbca23599065f5bd644b330db4e3b1f5
成都新闻综合,https://itv.lat/hls?channel=CDTV-1&token=fbca23599065f5bd644b330db4e3b1f5
成都经济资讯,https://itv.lat/hls?channel=CDTV-2&token=fbca23599065f5bd644b330db4e3b1f5
成都都市生活,https://itv.lat/hls?channel=CDTV-3&token=fbca23599065f5bd644b330db4e3b1f5
